label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
crop,23,461,341,201,imgs-00001.jpg,2160,3840
crop,390,481,273,174,imgs-00001.jpg,2160,3840
crop,233,353,337,120,imgs-00001.jpg,2160,3840
crop,617,391,145,87,imgs-00001.jpg,2160,3840
crop,793,107,676,634,imgs-00001.jpg,2160,3840
crop,212,914,434,353,imgs-00001.jpg,2160,3840
crop,1490,800,344,444,imgs-00001.jpg,2160,3840
crop,1903,939,255,299,imgs-00001.jpg,2160,3840
crop,995,768,406,477,imgs-00001.jpg,2160,3840
crop,767,769,154,159,imgs-00001.jpg,2160,3840
grass,976,2507,1180,630,imgs-00001.jpg,2160,3840
grass,654,2728,276,284,imgs-00001.jpg,2160,3840
grass,1183,3289,470,511,imgs-00001.jpg,2160,3840
crop,1582,70,572,681,imgs-00001.jpg,2160,3840
crop,1,481,259,205,imgs-00002.jpg,2160,3840
crop,273,505,316,173,imgs-00002.jpg,2160,3840
crop,701,126,672,647,imgs-00002.jpg,2160,3840
grass,853,2533,496,608,imgs-00002.jpg,2160,3840
grass,1392,2676,539,541,imgs-00002.jpg,2160,3840
grass,1158,3325,345,505,imgs-00002.jpg,2160,3840
grass,556,3149,352,355,imgs-00002.jpg,2160,3840
grass,270,2731,535,263,imgs-00002.jpg,2160,3840
grass,625,1415,162,190,imgs-00002.jpg,2160,3840
grass,711,1755,254,153,imgs-00002.jpg,2160,3840
grass,1705,1279,77,225,imgs-00002.jpg,2160,3840
grass,384,2139,186,141,imgs-00002.jpg,2160,3840
grass,2,2535,137,353,imgs-00002.jpg,2160,3840
grass,489,2356,118,144,imgs-00002.jpg,2160,3840
grass,646,2300,91,170,imgs-00002.jpg,2160,3840
grass,629,2566,212,151,imgs-00002.jpg,2160,3840
grass,304,3066,209,208,imgs-00002.jpg,2160,3840
grass,445,3565,432,275,imgs-00002.jpg,2160,3840
grass,991,2219,320,298,imgs-00002.jpg,2160,3840
grass,1980,2347,180,1439,imgs-00002.jpg,2160,3840
grass,1598,3288,364,547,imgs-00002.jpg,2160,3840
grass,1925,2006,235,119,imgs-00002.jpg,2160,3840
crop,1,1246,685,935,imgs-00002.jpg,2160,3840
crop,57,934,547,303,imgs-00002.jpg,2160,3840
crop,316,800,233,123,imgs-00002.jpg,2160,3840
crop,65,715,181,212,imgs-00002.jpg,2160,3840
crop,991,1392,803,1082,imgs-00002.jpg,2160,3840
crop,1009,855,316,511,imgs-00002.jpg,2160,3840
crop,1752,942,323,523,imgs-00002.jpg,2160,3840
crop,1360,804,357,476,imgs-00002.jpg,2160,3840
crop,1972,1499,188,489,imgs-00002.jpg,2160,3840
crop,1496,151,626,605,imgs-00002.jpg,2160,3840
grass,726,2559,1434,618,imgs-00003.jpg,2160,3840
grass,598,1382,122,463,imgs-00003.jpg,2160,3840
grass,765,1710,180,335,imgs-00003.jpg,2160,3840
grass,485,2410,216,188,imgs-00003.jpg,2160,3840
grass,124,2825,595,172,imgs-00003.jpg,2160,3840
grass,237,3173,425,166,imgs-00003.jpg,2160,3840
grass,586,3408,288,143,imgs-00003.jpg,2160,3840
grass,278,3656,350,183,imgs-00003.jpg,2160,3840
grass,426,3020,283,64,imgs-00003.jpg,2160,3840
grass,611,2621,102,191,imgs-00003.jpg,2160,3840
grass,761,2313,165,219,imgs-00003.jpg,2160,3840
crop,1,519,233,213,imgs-00003.jpg,2160,3840
crop,268,521,248,194,imgs-00003.jpg,2160,3840
crop,627,243,720,587,imgs-00003.jpg,2160,3840
crop,101,424,352,96,imgs-00003.jpg,2160,3840
crop,487,440,141,104,imgs-00003.jpg,2160,3840
crop,8,1318,554,1478,imgs-00003.jpg,2160,3840
crop,46,974,440,334,imgs-00003.jpg,2160,3840
crop,1012,1434,717,1103,imgs-00003.jpg,2160,3840
crop,1375,839,334,503,imgs-00003.jpg,2160,3840
crop,847,864,479,559,imgs-00003.jpg,2160,3840
crop,245,828,235,137,imgs-00003.jpg,2160,3840
crop,1963,1393,197,638,imgs-00003.jpg,2160,3840
crop,1742,1057,249,672,imgs-00003.jpg,2160,3840
grass,1977,2075,183,223,imgs-00003.jpg,2160,3840
grass,1744,2373,406,171,imgs-00003.jpg,2160,3840
grass,1723,3355,437,483,imgs-00003.jpg,2160,3840
grass,1193,3192,960,87,imgs-00003.jpg,2160,3840
grass,1042,3440,383,389,imgs-00003.jpg,2160,3840
crop,1436,151,724,648,imgs-00003.jpg,2160,3840
crop,8,493,321,127,imgs-00004.jpg,2160,3840
crop,384,511,144,132,imgs-00004.jpg,2160,3840
crop,1,652,234,159,imgs-00004.jpg,2160,3840
crop,251,653,154,130,imgs-00004.jpg,2160,3840
crop,542,289,659,677,imgs-00004.jpg,2160,3840
crop,961,1501,632,1094,imgs-00004.jpg,2160,3840
crop,1836,1370,324,735,imgs-00004.jpg,2160,3840
crop,1244,934,338,473,imgs-00004.jpg,2160,3840
crop,1631,1081,302,569,imgs-00004.jpg,2160,3840
crop,725,972,428,524,imgs-00004.jpg,2160,3840
grass,522,2636,715,612,imgs-00004.jpg,2160,3840
grass,14,3291,481,180,imgs-00004.jpg,2160,3840
grass,16,2922,495,193,imgs-00004.jpg,2160,3840
grass,338,3534,484,131,imgs-00004.jpg,2160,3840
grass,1629,3480,531,356,imgs-00004.jpg,2160,3840
grass,1302,2728,858,634,imgs-00004.jpg,2160,3840
grass,1667,2418,416,297,imgs-00004.jpg,2160,3840
grass,1883,2151,277,184,imgs-00004.jpg,2160,3840
grass,1651,1886,103,85,imgs-00004.jpg,2160,3840
grass,1714,2073,121,121,imgs-00004.jpg,2160,3840
grass,517,1834,92,121,imgs-00004.jpg,2160,3840
grass,596,1981,191,200,imgs-00004.jpg,2160,3840
grass,511,1537,142,236,imgs-00004.jpg,2160,3840
grass,967,3487,387,351,imgs-00004.jpg,2160,3840
crop,1296,275,864,643,imgs-00004.jpg,2160,3840
crop,5,541,273,120,imgs-00005.jpg,2160,3840
crop,330,584,140,89,imgs-00005.jpg,2160,3840
crop,13,681,404,154,imgs-00005.jpg,2160,3840
crop,512,313,669,609,imgs-00005.jpg,2160,3840
grass,844,2734,1316,679,imgs-00005.jpg,2160,3840
grass,423,2753,406,551,imgs-00005.jpg,2160,3840
grass,20,2916,371,295,imgs-00005.jpg,2160,3840
grass,1817,2221,343,497,imgs-00005.jpg,2160,3840
grass,1595,2443,213,280,imgs-00005.jpg,2160,3840
grass,266,2545,255,154,imgs-00005.jpg,2160,3840
grass,625,2458,503,267,imgs-00005.jpg,2160,3840
grass,428,1507,195,400,imgs-00005.jpg,2160,3840
grass,516,1937,247,235,imgs-00005.jpg,2160,3840
grass,20,3329,374,204,imgs-00005.jpg,2160,3840
grass,445,3409,191,123,imgs-00005.jpg,2160,3840
grass,409,3593,357,134,imgs-00005.jpg,2160,3840
grass,955,3569,296,258,imgs-00005.jpg,2160,3840
grass,1591,3466,557,369,imgs-00005.jpg,2160,3840
crop,0,1705,420,1165,imgs-00005.jpg,2160,3840
crop,899,1420,872,1269,imgs-00005.jpg,2160,3840
crop,1180,991,370,343,imgs-00005.jpg,2160,3840
crop,694,968,409,420,imgs-00005.jpg,2160,3840
crop,0,972,359,575,imgs-00005.jpg,2160,3840
crop,1782,1354,378,748,imgs-00005.jpg,2160,3840
crop,1247,265,902,691,imgs-00005.jpg,2160,3840
crop,1609,1042,545,254,imgs-00005.jpg,2160,3840
grass,989,2765,1171,708,imgs-00006.jpg,2160,3840
grass,1756,2217,397,532,imgs-00006.jpg,2160,3840
grass,1602,3538,558,300,imgs-00006.jpg,2160,3840
grass,935,3631,353,209,imgs-00006.jpg,2160,3840
grass,90,3449,408,162,imgs-00006.jpg,2160,3840
grass,390,3682,321,122,imgs-00006.jpg,2160,3840
grass,380,2728,551,647,imgs-00006.jpg,2160,3840
grass,390,1526,218,567,imgs-00006.jpg,2160,3840
grass,787,2388,264,313,imgs-00006.jpg,2160,3840
grass,342,2476,152,221,imgs-00006.jpg,2160,3840
grass,547,2411,124,216,imgs-00006.jpg,2160,3840
grass,669,1876,102,378,imgs-00006.jpg,2160,3840
grass,1083,1340,130,162,imgs-00006.jpg,2160,3840
grass,420,1299,133,207,imgs-00006.jpg,2160,3840
grass,1430,1489,106,125,imgs-00006.jpg,2160,3840
crop,1751,1521,409,664,imgs-00006.jpg,2160,3840
crop,782,1484,932,1237,imgs-00006.jpg,2160,3840
crop,11,1527,453,1554,imgs-00006.jpg,2160,3840
grass,17,3123,329,162,imgs-00006.jpg,2160,3840
crop,8,1007,408,508,imgs-00006.jpg,2160,3840
crop,666,921,469,545,imgs-00006.jpg,2160,3840
crop,8,616,253,122,imgs-00006.jpg,2160,3840
crop,330,607,86,83,imgs-00006.jpg,2160,3840
crop,6,756,405,138,imgs-00006.jpg,2160,3840
crop,451,419,701,484,imgs-00006.jpg,2160,3840
crop,1236,1015,332,459,imgs-00006.jpg,2160,3840
